Date,Open,High,Low,Close,Adj Close,Volume
2023-11-30,1200.000000,1400.000000,1200.000000,1313.000000,1313.000000,46579440
2023-12-01,1339.300049,1348.000000,1211.599976,1220.599976,1220.599976,18681410
2023-12-04,1220.599976,1234.000000,1151.150024,1192.650024,1192.650024,14740750
2023-12-05,1192.650024,1221.949951,1175.000000,1191.849976,1191.849976,4422358
2023-12-06,1202.000000,1207.449951,1181.000000,1188.500000,1188.500000,2735968
2023-12-07,1192.949951,1199.000000,1180.000000,1185.699951,1185.699951,1624651
2023-12-08,1189.000000,1219.699951,1188.250000,1192.550049,1192.550049,2528210
2023-12-11,1199.000000,1269.699951,1193.000000,1237.349976,1237.349976,8017469
2023-12-12,1254.000000,1263.050049,1230.000000,1233.250000,1233.250000,2426780
2023-12-13,1244.000000,1284.800049,1236.150024,1250.349976,1250.349976,4281933
2023-12-14,1270.000000,1275.000000,1242.699951,1246.349976,1246.349976,1595578
