Date,Open,High,Low,Close,Adj Close,Volume
2022-12-13,353.630005,355.670013,338.790009,342.459991,342.459991,3428000
2022-12-14,343.890015,345.950012,335.000000,339.920013,339.920013,3236500
2022-12-15,332.760010,334.500000,324.589996,328.709991,328.709991,5498700
2022-12-16,345.000000,354.470001,337.239990,338.540009,338.540009,11940700
2022-12-19,338.000000,340.739990,326.299988,328.760010,328.760010,4086300
2022-12-20,327.000000,342.500000,325.519989,338.220001,338.220001,3873600
2022-12-21,340.290009,345.290009,336.440002,341.380005,341.380005,2583000
2022-12-22,336.010010,339.880005,330.940002,336.519989,336.519989,2319300
2022-12-23,335.000000,338.920013,333.290009,338.450012,338.450012,1629800
2022-12-27,338.000000,338.160004,332.459991,335.089996,335.089996,1464300
2022-12-28,335.059998,338.500000,327.190002,328.329987,328.329987,1672100
2022-12-29,330.750000,339.500000,329.760010,337.579987,337.579987,1793100
2022-12-30,333.000000,336.640015,331.640015,336.529999,336.529999,1740900
2023-01-03,340.160004,345.820007,331.920013,336.920013,336.920013,2229100
2023-01-04,342.890015,345.630005,336.730011,341.410004,341.410004,2186800
2023-01-05,337.529999,337.549988,328.160004,328.440002,328.440002,2081600
2023-01-06,332.279999,334.880005,322.440002,332.750000,332.750000,2216600
2023-01-09,338.899994,349.459991,338.420013,341.980011,341.980011,3133800
2023-01-10,337.649994,344.630005,336.799988,338.700012,338.700012,1670200
2023-01-11,337.390015,343.190002,333.470001,342.929993,342.929993,2344400
2023-01-12,344.170013,346.440002,337.369995,344.540009,344.540009,2121800
2023-01-13,340.250000,344.649994,335.500000,344.380005,344.380005,2581900
2023-01-17,344.380005,350.790009,341.970001,344.380005,344.380005,2512700
2023-01-18,345.010010,349.239990,338.399994,341.309998,341.309998,2079800
2023-01-19,340.559998,346.730011,340.010010,342.529999,342.529999,2467000
2023-01-20,343.269989,357.420013,342.760010,356.380005,356.380005,3149400
2023-01-23,358.279999,365.869995,356.850006,364.980011,364.980011,3187100
2023-01-24,364.100006,364.450012,358.000000,361.320007,361.320007,2466400
2023-01-25,355.670013,359.730011,350.570007,358.170013,358.170013,2239100
2023-01-26,362.760010,367.429993,360.720001,365.820007,365.820007,2350500
2023-01-27,363.489990,373.420013,362.850006,370.709991,370.709991,2615600
2023-01-30,365.899994,368.700012,362.829987,363.420013,363.420013,2663600
2023-01-31,364.709991,370.700012,364.010010,370.339996,370.339996,2572400
2023-02-01,370.010010,386.720001,366.799988,383.920013,383.920013,3362000
2023-02-02,393.279999,402.489990,388.880005,392.230011,392.230011,4020000
2023-02-03,384.290009,386.720001,377.920013,379.329987,379.329987,2695400
2023-02-06,376.209991,379.290009,373.390015,375.230011,375.230011,2369600
2023-02-07,373.429993,384.940002,372.760010,383.820007,383.820007,2476200
2023-02-08,382.489990,387.279999,375.700012,378.359985,378.359985,2668100
2023-02-09,384.970001,386.510010,374.019989,375.809998,375.809998,2265200
2023-02-10,371.630005,374.519989,367.079987,370.989990,370.989990,1846300
2023-02-13,373.410004,376.309998,371.029999,375.000000,375.000000,1877300
2023-02-14,375.000000,380.559998,369.959991,377.899994,377.899994,2479700
2023-02-15,375.600006,381.670013,374.839996,375.940002,375.940002,2088200
2023-02-16,366.040009,373.489990,363.549988,365.160004,365.160004,2917000
2023-02-17,359.309998,359.609985,352.119995,356.850006,356.850006,2985700
2023-02-21,350.779999,353.250000,345.690002,346.700012,346.700012,3002700
2023-02-22,346.690002,353.170013,344.450012,348.720001,348.720001,2599300
2023-02-23,350.440002,353.799988,343.929993,347.019989,347.019989,3154500
2023-02-24,328.119995,329.760010,318.600006,320.540009,320.540009,8444500
2023-02-27,322.019989,325.100006,320.700012,322.320007,322.320007,3500600
2023-02-28,323.369995,325.730011,320.970001,323.950012,323.950012,2714200
2023-03-01,323.799988,325.260010,321.000000,323.380005,323.380005,2377700
2023-03-02,323.380005,334.459991,321.559998,333.500000,333.500000,3845800
2023-03-03,334.690002,344.760010,334.480011,344.040009,344.040009,3725500
2023-03-06,344.329987,351.779999,344.279999,347.019989,347.019989,3060300
2023-03-07,347.859985,352.170013,344.059998,344.799988,344.799988,2252800
2023-03-08,346.739990,348.690002,343.470001,345.839996,345.839996,2518900
2023-03-09,344.720001,350.130005,336.989990,338.369995,338.369995,3798300
2023-03-10,338.339996,338.519989,328.450012,329.299988,329.299988,4148200
2023-03-13,329.420013,333.000000,323.290009,324.269989,324.269989,4203500
2023-03-14,332.209991,335.170013,328.700012,333.329987,333.329987,3850900
2023-03-15,330.000000,334.279999,328.170013,333.609985,333.609985,4627100
2023-03-16,344.570007,355.489990,340.529999,353.290009,353.290009,6946600
2023-03-17,354.779999,360.630005,350.839996,358.140015,358.140015,6725400
2023-03-20,357.609985,364.940002,355.350006,362.880005,362.880005,3946800
2023-03-21,364.630005,376.399994,362.920013,374.220001,374.220001,4479200
2023-03-22,375.000000,377.329987,361.519989,361.709991,361.709991,3878400
2023-03-23,368.989990,375.250000,365.489990,369.000000,369.000000,3138600
2023-03-24,370.230011,375.230011,367.720001,374.959991,374.959991,2993400
2023-03-27,376.510010,380.350006,369.679993,373.149994,373.149994,2832200
2023-03-28,373.420013,374.000000,367.820007,373.399994,373.399994,1780800
2023-03-29,376.679993,380.119995,375.559998,379.160004,379.160004,2497600
2023-03-30,381.649994,382.579987,378.079987,381.899994,381.899994,2139000
2023-03-31,382.290009,385.730011,380.260010,385.369995,385.369995,3063400
2023-04-03,380.880005,383.730011,378.149994,380.079987,380.079987,2712600
2023-04-04,382.239990,385.700012,381.049988,385.149994,385.149994,2569800
2023-04-05,384.089996,386.000000,377.260010,382.019989,382.019989,2277200
2023-04-06,379.309998,382.459991,375.989990,380.600006,380.600006,1835900
2023-04-10,375.480011,376.670013,372.260010,376.250000,376.250000,1689700
